state,statefp,cd113fp,zip5
AR,05,01,72043
AR,05,01,72675
AR,05,01,72680
AR,05,01,72042
AR,05,01,72073
AR,05,01,72048
AR,05,01,72046
AR,05,01,72051
AR,05,01,72055
AR,05,01,72059
AR,05,01,72067
AR,05,01,72069
AR,05,01,72354
AR,05,01,72686
AR,05,01,72108
AR,05,01,72083
AR,05,01,72086
AR,05,01,72101
AR,05,01,72358
AR,05,01,72355
AR,05,01,72543
AR,05,01,72519
AR,05,01,72029
AR,05,01,72112
AR,05,01,72353
AR,05,01,72653
AR,05,01,72517
AR,05,01,72370
AR,05,01,72515
AR,05,01,72365
AR,05,01,72364
AR,05,01,72369
AR,05,01,72123
AR,05,01,72368
AR,05,01,72360
AR,05,01,72513
AR,05,01,72471
AR,05,01,72131
AR,05,01,72130
AR,05,01,72458
AR,05,01,72367
AR,05,01,72366
AR,05,01,72140
AR,05,01,72134
AR,05,01,72133
AR,05,01,72503
AR,05,01,72512
AR,05,01,72501
AR,05,01,72168
AR,05,01,72520
AR,05,01,72373
AR,05,01,72457
AR,05,01,72166
AR,05,01,72160
AR,05,01,72396
AR,05,01,72165
AR,05,01,72521
AR,05,01,72528
AR,05,01,72179
AR,05,01,72523
AR,05,01,72169
AR,05,01,72170
AR,05,01,72530
AR,05,01,72372
AR,05,01,72176
AR,05,01,72175
AR,05,01,72522
AR,05,01,72526
AR,05,01,72189
AR,05,01,72527
AR,05,01,72524
AR,05,01,72525
AR,05,01,72374
AR,05,01,72529
AR,05,01,72395
AR,05,01,72376
AR,05,01,72379
AR,05,01,72384
AR,05,01,72377
AR,05,01,72383
AR,05,01,72542
AR,05,01,72389
AR,05,01,72387
AR,05,01,72386
AR,05,01,72392
AR,05,01,72391
AR,05,01,72394
AR,05,01,72390
AR,05,01,72401
AR,05,01,72416
AR,05,01,72404
AR,05,01,72403
AR,05,01,72402
AR,05,01,72412
AR,05,01,72411
AR,05,01,72410
AR,05,01,72415
AR,05,01,72413
AR,05,01,72414
AR,05,01,72419
AR,05,01,72417
AR,05,01,72428
AR,05,01,72421
AR,05,01,72422
AR,05,01,72429
AR,05,01,72424
AR,05,01,72425
AR,05,01,72427
AR,05,01,72540
AR,05,01,72426
AR,05,01,72431
AR,05,01,72455
AR,05,01,72539
AR,05,01,72430
AR,05,01,72456
AR,05,01,72440
AR,05,01,72435
AR,05,01,72432
AR,05,01,72433
AR,05,01,72434
AR,05,01,72436
AR,05,01,72439
AR,05,01,72438
AR,05,01,72437
AR,05,01,72533
AR,05,01,72441
AR,05,01,72444
AR,05,01,72454
AR,05,01,72538
AR,05,01,72443
AR,05,01,72442
AR,05,01,72532
AR,05,01,72531
AR,05,01,72449
AR,05,01,72453
AR,05,01,72447
AR,05,01,72445
AR,05,01,72536
AR,05,01,72451
AR,05,01,72537
AR,05,01,72534
AR,05,01,72450
AR,05,01,72352
AR,05,01,72459
AR,05,01,72550
AR,05,01,72460
AR,05,01,72464
AR,05,01,72546
AR,05,01,72467
AR,05,01,72545
AR,05,01,72544
AR,05,01,72470
AR,05,01,72565
AR,05,01,72555
AR,05,01,72554
AR,05,01,72553
AR,05,01,72462
AR,05,01,72564
AR,05,01,72566
AR,05,01,72556
AR,05,01,72461
AR,05,01,72562
AR,05,01,72561
AR,05,01,72560
AR,05,01,72466
AR,05,01,72575
AR,05,01,72651
AR,05,01,72567
AR,05,01,72572
AR,05,01,72568
AR,05,01,72571
AR,05,01,72569
AR,05,01,72573
AR,05,01,72579
AR,05,01,72465
AR,05,01,72587
AR,05,01,72003
AR,05,01,72577
AR,05,01,72578
AR,05,01,72576
AR,05,01,72006
AR,05,01,72005
AR,05,01,72585
AR,05,01,72583
AR,05,01,72007
AR,05,01,72581
AR,05,01,72584
AR,05,01,72469
AR,05,01,72014
AR,05,01,72351
AR,05,01,72623
AR,05,01,72017
AR,05,01,72617
AR,05,01,72350
AR,05,01,72639
AR,05,01,72636
AR,05,01,72635
AR,05,01,72645
AR,05,01,72348
AR,05,01,72642
AR,05,01,72021
AR,05,01,72650
AR,05,01,72024
AR,05,01,72347
AR,05,01,72026
AR,05,01,72023
AR,05,02,72110
AR,05,02,72219
AR,05,02,72217
